[2025-04-22 21:47:40,759] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:47:40,785] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:47:42,761] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:47:42,800] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:47:44,879] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:47:45,401] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:47:46,316] anonymous, Request: POST /auth/register/ 400
[2025-04-22 21:47:46,323] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:47:48,133] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:47:48,163] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:47:49,941] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:47:52,836] anonymous, Request: GET /graphs/get/USD 200
[2025-04-22 21:51:22,635] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:51:23,725] anonymous, Request: POST /auth/login/ 400
[2025-04-22 21:51:23,736] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:51:28,312] anonymous, Request: POST /auth/login/ 401
[2025-04-22 21:51:28,327] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:51:30,541] anonymous, Request: POST /auth/login/ 200
[2025-04-22 21:51:30,554] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:51:33,648] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:51:34,157] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:51:35,338] anonymous, Request: POST /auth/register/ 400
[2025-04-22 21:51:35,346] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:51:37,705] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:51:37,719] anonymous, Request: GET /getcsrf/ 200
[2025-04-22 21:51:40,660] anonymous, Request: POST /auth/register/ 200
[2025-04-22 21:51:45,329] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 15:30:50,314] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 15:31:49,776] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:31:50,872] anonymous, Request: POST /auth/login/ 400
[2025-04-23 15:31:50,887] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:31:52,658] anonymous, Request: POST /auth/login/ 401
[2025-04-23 15:31:52,673] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:31:54,472] anonymous, Request: POST /auth/login/ 200
[2025-04-23 15:31:54,484] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:31:56,256] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:31:56,738] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:31:57,627] anonymous, Request: POST /auth/register/ 400
[2025-04-23 15:31:57,633] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:31:59,380] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:31:59,395] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:32:01,185] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:32:03,899] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 15:48:34,986] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:48:35,893] anonymous, Request: POST /auth/login/ 400
[2025-04-23 15:48:35,906] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:48:37,674] anonymous, Request: POST /auth/login/ 401
[2025-04-23 15:48:37,789] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:48:39,562] anonymous, Request: POST /auth/login/ 200
[2025-04-23 15:48:39,705] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:48:41,470] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:48:41,897] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:48:42,772] anonymous, Request: POST /auth/register/ 400
[2025-04-23 15:48:42,778] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:48:44,521] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:48:44,552] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:48:46,289] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:48:48,987] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 15:52:42,510] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:52:43,415] anonymous, Request: POST /auth/login/ 400
[2025-04-23 15:52:43,438] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:52:45,312] anonymous, Request: POST /auth/login/ 401
[2025-04-23 15:52:45,348] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:52:47,208] anonymous, Request: POST /auth/login/ 200
[2025-04-23 15:52:47,231] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:52:49,106] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:52:49,676] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:52:50,571] anonymous, Request: POST /auth/register/ 400
[2025-04-23 15:52:50,577] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:52:52,322] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:52:52,350] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:52:54,094] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:52:57,599] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 15:53:52,329] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:53:53,233] anonymous, Request: POST /auth/login/ 400
[2025-04-23 15:53:53,284] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:53:55,032] anonymous, Request: POST /auth/login/ 401
[2025-04-23 15:53:55,069] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:53:56,822] anonymous, Request: POST /auth/login/ 200
[2025-04-23 15:53:56,835] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:53:58,587] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:53:59,049] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:53:59,931] anonymous, Request: POST /auth/register/ 400
[2025-04-23 15:53:59,937] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:54:01,753] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:54:01,794] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:54:03,560] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:54:06,225] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 15:57:46,379] anonymous, Request: GET /getcsrf/ 200
